sample_idx,beat,episode,file,database
0,+,(N,cu01.csv,cudb
34,N,,cu01.csv,cudb
168,N,,cu01.csv,cudb
306,N,,cu01.csv,cudb
442,N,,cu01.csv,cudb
573,N,,cu01.csv,cudb
704,N,,cu01.csv,cudb
836,N,,cu01.csv,cudb
968,N,,cu01.csv,cudb
1099,N,,cu01.csv,cudb
1236,N,,cu01.csv,cudb
1370,N,,cu01.csv,cudb
1500,N,,cu01.csv,cudb
1634,N,,cu01.csv,cudb
1770,N,,cu01.csv,cudb
1902,N,,cu01.csv,cudb
2032,N,,cu01.csv,cudb
2174,N,,cu01.csv,cudb
2308,N,,cu01.csv,cudb
2440,N,,cu01.csv,cudb
2576,N,,cu01.csv,cudb
2714,N,,cu01.csv,cudb
2848,N,,cu01.csv,cudb
2983,N,,cu01.csv,cudb
3122,N,,cu01.csv,cudb
3254,N,,cu01.csv,cudb
3389,N,,cu01.csv,cudb
3524,N,,cu01.csv,cudb
3664,N,,cu01.csv,cudb
3800,N,,cu01.csv,cudb
3940,N,,cu01.csv,cudb
4078,N,,cu01.csv,cudb
4214,N,,cu01.csv,cudb
4352,N,,cu01.csv,cudb
4488,N,,cu01.csv,cudb
4623,N,,cu01.csv,cudb
4755,N,,cu01.csv,cudb
4892,N,,cu01.csv,cudb
5025,N,,cu01.csv,cudb
5156,N,,cu01.csv,cudb
5286,N,,cu01.csv,cudb
5421,N,,cu01.csv,cudb
5552,N,,cu01.csv,cudb
5686,N,,cu01.csv,cudb
5825,N,,cu01.csv,cudb
5961,N,,cu01.csv,cudb
6096,N,,cu01.csv,cudb
6232,N,,cu01.csv,cudb
6366,N,,cu01.csv,cudb
6498,N,,cu01.csv,cudb
6632,N,,cu01.csv,cudb
6764,N,,cu01.csv,cudb
6892,N,,cu01.csv,cudb
7024,N,,cu01.csv,cudb
7156,N,,cu01.csv,cudb
7288,N,,cu01.csv,cudb
7420,N,,cu01.csv,cudb
7551,N,,cu01.csv,cudb
7684,N,,cu01.csv,cudb
7819,N,,cu01.csv,cudb
7950,N,,cu01.csv,cudb
8080,N,,cu01.csv,cudb
8212,N,,cu01.csv,cudb
8342,N,,cu01.csv,cudb
8470,N,,cu01.csv,cudb
8605,N,,cu01.csv,cudb
8736,N,,cu01.csv,cudb
8867,N,,cu01.csv,cudb
9000,N,,cu01.csv,cudb
9132,N,,cu01.csv,cudb
9266,N,,cu01.csv,cudb
9399,N,,cu01.csv,cudb
9531,N,,cu01.csv,cudb
9664,N,,cu01.csv,cudb
9794,N,,cu01.csv,cudb
9921,N,,cu01.csv,cudb
10052,N,,cu01.csv,cudb
10182,N,,cu01.csv,cudb
10312,N,,cu01.csv,cudb
10447,N,,cu01.csv,cudb
10577,N,,cu01.csv,cudb
10708,N,,cu01.csv,cudb
10842,N,,cu01.csv,cudb
10976,N,,cu01.csv,cudb
11108,N,,cu01.csv,cudb
11240,N,,cu01.csv,cudb
11370,N,,cu01.csv,cudb
11499,N,,cu01.csv,cudb
11632,N,,cu01.csv,cudb
11764,N,,cu01.csv,cudb
11897,N,,cu01.csv,cudb
12028,N,,cu01.csv,cudb
12164,N,,cu01.csv,cudb
12300,N,,cu01.csv,cudb
12434,N,,cu01.csv,cudb
12566,N,,cu01.csv,cudb
12697,N,,cu01.csv,cudb
12834,N,,cu01.csv,cudb
12964,N,,cu01.csv,cudb
13096,N,,cu01.csv,cudb
13232,N,,cu01.csv,cudb
13366,N,,cu01.csv,cudb
13499,N,,cu01.csv,cudb
13630,N,,cu01.csv,cudb
13766,N,,cu01.csv,cudb
13899,N,,cu01.csv,cudb
14032,N,,cu01.csv,cudb
14163,N,,cu01.csv,cudb
14295,N,,cu01.csv,cudb
14426,N,,cu01.csv,cudb
14559,N,,cu01.csv,cudb
14694,N,,cu01.csv,cudb
14826,N,,cu01.csv,cudb
14963,N,,cu01.csv,cudb
15094,N,,cu01.csv,cudb
15224,N,,cu01.csv,cudb
15356,N,,cu01.csv,cudb
15484,N,,cu01.csv,cudb
15612,N,,cu01.csv,cudb
15740,N,,cu01.csv,cudb
15869,N,,cu01.csv,cudb
15994,N,,cu01.csv,cudb
16122,N,,cu01.csv,cudb
16250,N,,cu01.csv,cudb
16374,N,,cu01.csv,cudb
16505,N,,cu01.csv,cudb
16632,N,,cu01.csv,cudb
16760,N,,cu01.csv,cudb
16896,N,,cu01.csv,cudb
17030,N,,cu01.csv,cudb
17161,N,,cu01.csv,cudb
17293,N,,cu01.csv,cudb
17430,N,,cu01.csv,cudb
17560,N,,cu01.csv,cudb
17696,N,,cu01.csv,cudb
17836,N,,cu01.csv,cudb
17966,N,,cu01.csv,cudb
18100,N,,cu01.csv,cudb
18236,N,,cu01.csv,cudb
18366,N,,cu01.csv,cudb
18494,N,,cu01.csv,cudb
18628,N,,cu01.csv,cudb
18754,N,,cu01.csv,cudb
18880,N,,cu01.csv,cudb
19011,N,,cu01.csv,cudb
19148,N,,cu01.csv,cudb
19278,N,,cu01.csv,cudb
19410,N,,cu01.csv,cudb
19544,N,,cu01.csv,cudb
19680,N,,cu01.csv,cudb
19819,N,,cu01.csv,cudb
19956,N,,cu01.csv,cudb
20089,N,,cu01.csv,cudb
20230,N,,cu01.csv,cudb
20360,N,,cu01.csv,cudb
20496,N,,cu01.csv,cudb
20633,N,,cu01.csv,cudb
20767,N,,cu01.csv,cudb
20896,N,,cu01.csv,cudb
21026,N,,cu01.csv,cudb
21162,N,,cu01.csv,cudb
21291,N,,cu01.csv,cudb
21428,N,,cu01.csv,cudb
21560,N,,cu01.csv,cudb
21692,N,,cu01.csv,cudb
21829,N,,cu01.csv,cudb
21964,N,,cu01.csv,cudb
22099,N,,cu01.csv,cudb
22233,N,,cu01.csv,cudb
22370,N,,cu01.csv,cudb
22502,N,,cu01.csv,cudb
22636,N,,cu01.csv,cudb
22766,N,,cu01.csv,cudb
22895,N,,cu01.csv,cudb
23026,N,,cu01.csv,cudb
23158,N,,cu01.csv,cudb
23289,N,,cu01.csv,cudb
23418,N,,cu01.csv,cudb
23551,N,,cu01.csv,cudb
23678,N,,cu01.csv,cudb
23806,N,,cu01.csv,cudb
23938,N,,cu01.csv,cudb
24062,N,,cu01.csv,cudb
24192,N,,cu01.csv,cudb
24322,N,,cu01.csv,cudb
24447,N,,cu01.csv,cudb
24572,N,,cu01.csv,cudb
24701,N,,cu01.csv,cudb
24828,N,,cu01.csv,cudb
24950,N,,cu01.csv,cudb
25079,N,,cu01.csv,cudb
25208,N,,cu01.csv,cudb
25332,N,,cu01.csv,cudb
25460,N,,cu01.csv,cudb
25586,N,,cu01.csv,cudb
25714,N,,cu01.csv,cudb
25844,N,,cu01.csv,cudb
25971,N,,cu01.csv,cudb
26099,N,,cu01.csv,cudb
